screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
sudhans32045640,1,1,0,0,2,False,1,3,0,Twitter for Windows,4,N1
CMPFOIndia,2,0,3,2,0,True,9,2,0,Twitter for Android,5,N1
56feku,1,3,3,3,1,False,9,3,0,Mobile Web (M5),3,N3
sukalyanfouzdar,2,1,2,2,3,False,7,4,3,Twitter for iPhone,7,N4
KumarKanasu,0,2,0,0,1,False,3,3,4,Twitter for Windows Phone,5,N1
chandu1085,1,2,1,1,2,False,7,2,4,Twitter for Windows,4,N1
jeetukawde786,0,0,0,0,1,False,5,1,4,Mobile Web (M2),4,N1
JSBpune,0,0,1,1,0,False,1,0,3,Facebook,5,N1
SiddiquiTayiab,0,1,0,0,1,False,1,3,0,Twitter for Android,5,N1
nsujoy,2,0,1,1,1,False,0,0,3,Facebook,5,N1
LeahHardingAJE,3,2,3,2,3,True,2,1,5,Twitter Web Client,6,N2
ShreyashBothra,1,3,3,3,0,False,6,3,0,TweetDeck,4,N3
saabsarkaar9,2,4,3,4,0,False,9,4,3,Twitter for iPad,7,N4
NCRCorporation,4,3,4,3,4,True,4,0,6,Spredfast app,6,N0
nytimesworld,4,3,4,4,3,True,3,1,6,SocialFlow,3,N0
sudarsansand,4,4,4,2,2,True,2,2,6,Twitter for iPhone,7,N0
prasanto,4,4,4,4,4,True,9,4,5,Twitter for Android,4,N0
JAGDISHGUPTA5,3,4,2,3,4,False,8,3,0,Mobile Web (M5),4,N4
BJP4Andhra,4,2,2,2,2,True,8,2,6,Twitter for Android,5,N0
vinodkbjp,4,1,1,1,4,False,7,1,5,Twitter Web Client,6,N0
FundaVision,3,1,4,4,3,False,5,0,4,dlvr.it,5,N2
BjpForBihar,4,0,0,1,3,False,0,0,6,Trendveer,3,N1
BajajHansal,2,4,2,3,1,False,9,1,4,TweetDeck,4,N4
ScramCard,1,1,4,0,2,False,6,1,6,HubSpot,5,N1
ITMassLiteracy,4,2,3,1,3,True,9,2,5,Google,5,N0
GangulyBitan,3,3,3,3,3,False,3,2,5,Twitter for Android,3,N3
UIDAI,4,1,3,2,0,True,0,0,0,Germin8 App,5,N0
FreedomWorldMag,4,0,0,0,4,False,0,0,3,Twitter Web Client,4,N1
SadhguruJV,4,0,4,2,0,True,4,4,6,Hootsuite,6,N0
Fromroshan,2,4,4,4,2,False,1,1,3,Twitter for iPhone,5,N0
Shanktan,4,2,3,3,3,True,3,3,6,Statusbrew,7,N0
lethalw2010,3,3,4,4,4,False,9,4,0,Twitter Web Client,4,N0
sun_suku,3,4,2,4,0,False,0,2,0,Twitter for Android,3,N4
PratyushKanth,4,2,1,1,1,True,4,4,6,Twitter for iPhone,5,N0
MariaMacNamara1,3,3,4,2,4,False,2,1,5,Twitter Web Client,6,N3
mygovindia,4,1,4,2,1,True,8,3,6,TweetDeck,6,N0
Hari_Natham,4,2,0,3,3,False,5,1,4,Put your button on any page! ,5,N0
ChennaiMP,4,0,4,4,2,False,2,0,4,Facebook,4,N0
BJP4JnK,4,1,3,3,1,True,7,4,5,TweetDeck,5,N0
HonestWordsOnly,3,4,4,4,3,False,5,2,4,Twitter for Android,4,N0
IamRohitVadgama,4,2,1,1,0,False,3,1,6,Mobile Web (M2),7,N0
Mainereport,4,0,2,3,4,False,0,0,0,dlvr.it,4,N0
aniljaindr,4,1,3,1,2,True,9,3,6,Twitter for iPhone,5,N0
Kunthavi5,2,4,4,4,1,False,6,1,5,Twitter for iPhone,5,N0
rsprasad,4,3,4,2,3,True,9,3,6,Hootsuite,6,N0
nazrulklgassam,4,3,3,3,4,False,4,0,3,Google,4,N0
Srianuragh,3,4,4,4,4,False,8,2,3,Twitter Web Client,4,N0
kuljeetschahal,4,3,2,1,2,True,5,4,6,Twitter for iPhone,5,N0
mitulmakadia,3,2,4,2,3,False,7,3,6,Statusbrew,6,N2
manuknl,4,0,1,0,0,False,9,2,6,Twitter for Android,6,N1
PeninsulaQatar,4,1,4,4,1,True,2,0,4,Twitter Web Client,3,N0
harimakwan,3,4,4,4,4,False,1,1,0,UnFollowSpy,5,N0
ZeeMohamed_,4,4,3,3,3,True,7,4,5,Twitter Web Client,5,N0
ElectrifyingWWE,4,1,3,4,3,False,4,1,0,Twitter for Android,8,N0
MSGFansClub,4,3,1,3,0,False,9,4,6,Twitter for BlackBerry,7,N0
NorthEast8India,4,2,3,4,4,False,0,0,4,dlvr.it,4,N0
arunjaitley,4,0,4,1,2,True,1,3,6,Twitter for iPhone,6,N0
rjvlala,2,2,4,4,4,False,6,2,0,Twitter for iPhone,5,N0
jayantsinha,4,2,4,2,2,True,3,1,6,Hootsuite,6,N0
TNT_Magazine,4,0,4,3,1,False,2,0,3,IFTTT,4,N0
9U9Gcg69l7kuu4k,3,4,4,4,1,False,8,3,3,Twitter for Android,4,N0
Mrs_Modi,4,3,2,3,4,False,5,2,5,Twitter for iPhone,6,N0
Arcadier_,2,1,4,1,3,False,5,0,6,Buffer,5,N0
mpvadodara,4,3,3,2,0,True,0,1,6,Twitter for Android,5,N0
rajumahalingam,4,1,2,0,1,False,3,3,6,Twitter for iPhone,6,N0
prove_social,3,4,4,4,2,False,7,1,0,Prove Social,5,N0
KishoreKar,4,4,3,3,4,True,9,4,5,Twitter for Android,4,N0
DataStream_Cond,3,4,4,4,3,False,3,2,4,Twitter Web Client,4,N0
WeUttarPradesh,4,1,3,3,0,True,2,0,6,Twitter Web Client,5,N0
Yugvani,4,2,3,4,3,False,4,0,4,dlvr.it,4,N0
KirenRijiju,4,3,4,1,2,True,1,4,6,Twitter for Android,6,N0
vedantlalwani01,3,0,4,4,4,False,9,3,0,Twitter for iPhone,6,N0
PrakashJavdekar,4,2,4,2,2,True,7,2,6,Twitter for iPhone,7,N0
rssorg_,4,0,1,1,3,False,0,0,6,TweetRandom Series,4,N0
Pandey70Pandey,3,4,4,4,4,False,6,1,0,Twitter for Windows Phone,5,N0
cancimmuno,4,3,2,3,4,False,4,2,5,Twitter Web Client,4,N0
PrLondonUk,4,0,4,3,1,False,5,0,3,SocialCloudSuite,5,N0
free_thinker,4,1,3,2,3,False,1,1,6,TweetDeck,2,N0
ChitraSarwara,4,1,1,0,0,False,5,3,6,Twitter for Android,5,N1
haroonsheikh786,3,4,4,4,1,False,8,1,4,Twitter for Android,6,N0
mansukhmandviya,4,2,3,2,2,True,8,4,6,Twitter for iPhone,5,N0
lalashwa,2,4,4,4,3,False,0,1,5,Twitter Web Client,5,N0
TheCitizen_in,4,3,4,3,1,True,7,0,5,Twitter Web Client,4,N0
Mamtainsan02,4,4,2,4,0,False,9,4,0,Twitter for iPhone,6,N0
KarnikaKohli,4,3,3,3,4,True,1,1,6,TweetDeck,4,N0
imtanujparashar,3,1,4,4,4,False,3,4,0,Mobile Web (M5),5,N0
SirPareshRawal,4,1,4,1,2,True,2,3,6,Twitter for iPhone,6,N0
NewIndianXpress,4,0,4,4,3,True,4,0,6,Buffer,3,N0
mantralayatimes,3,2,4,4,4,False,7,0,3,IFTTT,5,N0
shaileshraanjan,4,3,2,3,4,False,3,2,0,Twitter for iPhone,6,N3
pallarajasekhar,4,0,3,3,4,False,6,4,3,Twitter Web Client,4,N0
IndiaTodayTech,4,0,4,2,0,True,0,1,6,Hootsuite,4,N0
ITwingDSS,4,2,3,2,0,False,8,4,6,Twitter for Android,7,N0
DyingConsciousn,3,4,4,4,3,False,1,3,3,Twitter for Android,4,N0
Dattatreya,4,1,3,1,1,True,5,1,6,Twitter Web Client,5,N0
godavar,3,4,4,4,3,False,4,0,5,Twitter for Android,6,N2
aryaraghvendr,4,3,1,3,4,False,9,0,5,Facebook,5,N0
apcpim,4,4,3,3,1,False,7,2,4,Twitter Web Client,5,N0
PRupala,4,2,3,1,2,True,4,1,6,Twitter for iPhone,6,N0
Vote_4_Sickular,3,4,4,4,3,False,6,4,0,Twitter Web Client,4,N0
akshaykumar,4,1,4,2,0,True,5,4,6,Twitter for iPhone,7,N0
RaisinaSeries,4,0,4,4,2,True,8,3,0,Twitter for iPhone,4,N0
hdkansara,3,1,4,2,4,False,7,0,6,Statusbrew,6,N2
ranjeetshah0786,4,2,2,1,4,False,3,0,6,Google,5,N0
SStavrinoudakis,4,3,4,3,4,False,6,0,5,Post with Klout,3,N0
TOIIndiaNews,4,0,4,4,0,True,0,1,6,cmssocialservice,4,N0
2401saurav,4,3,3,4,2,False,8,2,3,Twitter for Android,4,N0
mumbaiphoto,4,2,4,2,3,False,3,3,3,Twitter for Windows Phone,5,N0
LabourMinistry,4,0,3,1,1,True,3,1,6,Twitter Web Client,5,N0
Chandra_bhs,3,4,4,4,3,False,4,3,3,Twitter for Android,4,N0
