screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
Pra7ul,1,1,1,1,1,False,0,0,3,Google,7,N3
RAMESHWARLALMA1,0,0,1,1,0,False,1,1,5,Twitter for Android,8,N4
ajithvakod,1,3,0,0,2,False,2,4,3,Twitter for Android,6,N4
Siddu_MJ,0,0,0,0,2,False,1,1,5,Twitter for iPhone,7,N4
VKGanatra,2,3,2,2,1,False,9,3,4,TweetDeck,4,N2
LeahHardingAJE,3,2,3,2,3,True,2,1,5,Twitter Web Client,6,N1
net_topnews,0,1,0,0,1,False,0,0,3,Twitter Web Client,5,N4
sran_vijay,3,2,2,3,3,False,6,2,3,Twitter for iPad,4,N1
amritabhinder,4,4,4,4,4,True,5,3,6,Twitter for iPhone,4,N0
NewIndianXpress,4,0,4,4,3,True,4,0,6,Buffer,3,N0
UIDAI,4,1,3,2,0,True,0,0,0,Germin8 App,5,N0
MSGFansClub,4,3,1,3,0,False,9,4,6,Twitter for BlackBerry,7,N0
prove_social,3,4,4,4,2,False,7,1,0,Prove Social,5,N1
amol_kulk,2,2,4,1,2,False,5,1,6,Twitter for Android,6,N3
JAGDISHGUPTA5,3,4,2,3,4,False,8,3,0,Mobile Web (M5),4,N1
BJP4JnK,4,1,3,3,1,True,7,4,5,TweetDeck,5,N0
INCdilse,2,2,3,3,3,False,6,2,4,Twitter for iPad,5,N2
paulosisinno,3,3,4,4,4,False,2,1,3,Twitter Web Client,4,N1
arunjaitley,4,0,4,1,2,True,1,3,6,Twitter for iPhone,6,N0
PeninsulaQatar,4,1,4,4,1,True,2,0,4,Twitter Web Client,3,N0
manuknl,4,0,1,0,0,False,9,2,6,Twitter for Android,6,N4
ChukkuNews,3,0,3,4,4,False,3,0,0,dlvr.it,3,N1
akshaykumar,4,1,4,2,0,True,5,4,6,Twitter for iPhone,7,N0
ANITARATHI,4,4,2,2,3,False,4,1,6,Twitter for Android,4,N0
ITMassLiteracy,4,2,3,1,3,True,9,2,5,Google,5,N0
ScramCard,1,1,4,0,2,False,6,1,6,HubSpot,5,N4
AboutThWorldNow,3,2,3,4,4,False,4,3,0,Twitter Web Client,3,N1
TheCitizen_in,4,3,4,3,1,True,7,0,5,Twitter Web Client,4,N0
Shanayak26,4,4,2,3,2,False,2,2,4,Twitter for iPhone,5,N0
KotakBankLtd,4,2,4,4,4,True,0,0,3,OneDirect Suite,6,N0
haroonsheikh786,3,4,4,4,1,False,8,1,4,Twitter for Android,6,N1
SadhguruJV,4,0,4,2,0,True,4,4,6,Hootsuite,6,N0
BjpForBihar,4,0,0,1,3,False,0,0,6,Trendveer,3,N4
Shanktan,4,2,3,3,3,True,3,3,6,Statusbrew,7,N0
ChitraSarwara,4,1,1,0,0,False,5,3,6,Twitter for Android,5,N4
Pandey70Pandey,3,4,4,4,4,False,6,1,0,Twitter for Windows Phone,5,N1
cancimmuno,4,3,2,3,4,False,4,2,5,Twitter Web Client,4,N0
SanjayBragta,4,1,3,2,2,True,7,1,6,Twitter for iPhone,4,N0
rjvlala,2,2,4,4,4,False,6,2,0,Twitter for iPhone,5,N2
9U9Gcg69l7kuu4k,3,4,4,4,1,False,8,3,3,Twitter for Android,4,N1
KirenRijiju,4,3,4,1,2,True,1,4,6,Twitter for Android,6,N0
thevaibhavag1,4,0,3,2,4,False,4,0,5,Facebook,6,N0
ZeeMohamed_,4,4,3,3,3,True,7,4,5,Twitter Web Client,5,N0
IamRohitVadgama,4,2,1,1,0,False,3,1,6,Mobile Web (M2),7,N0
Nationalistweet,3,4,4,4,3,False,0,0,3,Twitter Web Client,4,N1
rajumahalingam,4,1,2,0,1,False,3,3,6,Twitter for iPhone,6,N0
KarnikaKohli,4,3,3,3,4,True,1,1,6,TweetDeck,4,N0
restodehistoria,3,2,4,4,4,False,8,0,0,IFTTT,5,N1
HonestWordsOnly,3,4,4,4,3,False,5,2,4,Twitter for Android,4,N1
kuljeetschahal,4,3,2,1,2,True,5,4,6,Twitter for iPhone,5,N0
ironSource,4,3,4,2,4,True,4,0,5,Oktopost,5,N0
rameshsrivats,4,0,4,3,2,True,6,3,6,Twitter Web Client,6,N0
ITwingDSS,4,2,3,2,0,False,8,4,6,Twitter for Android,7,N0
lalashwa,2,4,4,4,3,False,0,1,5,Twitter Web Client,5,N0
neetuarora94,4,4,2,4,0,False,9,3,0,Twitter for iPhone,6,N0
free_thinker,4,1,3,2,3,False,1,1,6,TweetDeck,2,N0
TNT_Magazine,4,0,4,3,1,False,2,0,3,IFTTT,4,N0
Srianuragh,3,4,4,4,4,False,8,2,3,Twitter Web Client,4,N1
PratyushKanth,4,2,1,1,1,True,4,4,6,Twitter for iPhone,5,N0
SaffronWatch,4,3,3,3,4,False,0,0,4,Twitter for Android,3,N0
HPSustainable,4,2,4,1,2,True,4,1,6,Sprinklr,6,N0
BJP4Andhra,4,2,2,2,2,True,8,2,6,Twitter for Android,5,N0
MihirkJha,3,3,4,4,3,False,9,3,5,Twitter for Android,4,N1
Mamtainsan02,4,4,2,4,0,False,9,4,0,Twitter for iPhone,6,N0
Dattatreya,4,1,3,1,1,True,5,1,6,Twitter Web Client,5,N0
hdkansara,3,1,4,2,4,False,7,0,6,Statusbrew,6,N1
DyingConsciousn,3,4,4,4,3,False,1,3,3,Twitter for Android,4,N1
MagicbricksNow,4,0,4,3,1,True,4,0,5,Twitter Web Client,5,N0
MumbaiRR,4,0,3,3,4,False,0,0,4,MumbaiRR,5,N0
PRupala,4,2,3,1,2,True,4,1,6,Twitter for iPhone,6,N0
sudarsansand,4,4,4,2,2,True,2,2,6,Twitter for iPhone,7,N0
Abdulsaleemgad,3,3,4,4,3,False,8,3,5,Twitter for Android,4,N1
shaileshraanjan,4,3,2,3,4,False,3,2,0,Twitter for iPhone,6,N0
TheGungunSharma,4,1,1,0,0,False,8,4,6,Twitter for Android,5,N4
JKviews,4,2,3,2,3,False,5,1,6,Twitter Web Client,3,N0
Chandra_bhs,3,4,4,4,3,False,4,3,3,Twitter for Android,4,N1
TheDeccanHerald,4,1,4,4,1,True,6,0,5,Twitter Web Client,4,N0
Mainereport,4,0,2,3,4,False,0,0,0,dlvr.it,4,N0
LabourMinistry,4,0,3,1,1,True,3,1,6,Twitter Web Client,5,N0
PrakashJavdekar,4,2,4,2,2,True,7,2,6,Twitter for iPhone,7,N0
godavar,3,4,4,4,3,False,4,0,5,Twitter for Android,6,N1
uspatrol,4,3,3,3,4,False,2,3,4,Twitter for iPhone,5,N0
BJP4Maharashtra,4,0,4,3,2,True,9,4,6,TweetDeck,5,N0
rahulchhawwa,4,1,1,0,4,False,3,1,6,Twitter Web Client,6,N0
mitulmakadia,3,2,4,2,3,False,7,3,6,Statusbrew,6,N1
2401saurav,4,3,3,4,2,False,8,2,3,Twitter for Android,4,N0
Kunthavi5,2,4,4,4,1,False,6,1,5,Twitter for iPhone,5,N0
rssorg_,4,0,1,1,3,False,0,0,6,TweetRandom Series,4,N0
KishoreKar,4,4,3,3,4,True,9,4,5,Twitter for Android,4,N0
SBICard_Connect,4,2,4,4,4,True,0,0,0,Oracle Engage,6,N0
TheBhojpuri,4,0,3,4,0,False,5,0,4,Hootsuite,5,N0
SirPareshRawal,4,1,4,1,2,True,2,3,6,Twitter for iPhone,6,N0
Sultankasher,4,3,2,2,4,False,3,1,6,Twitter for iPhone,7,N0
timane,3,4,4,3,3,False,6,1,5,Twitter Web Client,5,N1
mygovindia,4,1,4,2,1,True,8,3,6,TweetDeck,6,N0
jayantsjy,3,4,4,4,4,False,5,2,3,Twitter Web Client,5,N1
